"合同编号","采购订单号","煤种_品名代码","发货单位代码","供应商_发货单位名称","发站名称","收货单位_焦化厂","铁路车号","货票重量","制表_发出时间","生成时间","到厂_进厂交接时间","在途状态","状态","物料品名代码","采购物料代码","关联状态","收货单位"
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1509994",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1710447",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1800312",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1748284",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1528518",71.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1884376",71.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1626596",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1739609",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4971510",63.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1607862",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1520009",71.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1676623",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1693450",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1719534",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1753139",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1647160",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1831194",71.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4918554",64.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1450166",63.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4951484",64.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4923352",64.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4880583",62.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1635159",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1574058",70.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1609794",71.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
LGXS26070746,"450018627200010",G3MMZJN,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1657525",71.000,"20260908000008","20260907180723","20260907183000",在途,"2",G3MMZJN,A2MMSJM2,已匹配,焦化厂
