"合同编号","采购订单号","煤种_品名代码","发货单位代码","供应商_发货单位名称","发站名称","船名","收货单位_焦化厂","铁路车号","货票重量","制表_发出时间","生成时间","到厂_进厂交接时间","在途状态","状态","物料品名代码","采购物料代码","关联状态","收货单位"
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1567997",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1703317",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1636562",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1634662",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4911312",61.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4948114",64.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1565109",70.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1848648",70.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4961576",63.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1560883",70.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4870059",63.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4916366",61.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4963764",61.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1552088",70.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1834049",70.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4911698",62.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4838609",62.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1887155",70.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4839097",63.000,"20260908102000","20260908104448","20260908110000",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
