"船名","物料名称","待卸量","合同号_合同简码","采购订单号_合同编码","采购订单行项目号","数据状态","在途开始时间","在途结束时间","履历时间","物料品名代码","采购物料代码","合同编码","关联状态","收货单位"
吉利女神,主焦煤|3级|进口|澳洲|Daunia,"10586","2611298","4500187795","10",在途,"2026-08-14 14:24:45",,"2026-09-09 00:00:00",G3MMZJMH,A2MMZJM3,"4500187795",已匹配,焦化厂
皇家印象,气煤|进口|印尼|KSM,"10000","2611309","4500188621","10",在途,"2026-08-26 08:37:50",,"2026-09-09 00:00:00",G3MMQQG,A2MMQQM1,"4500188621",已匹配,焦化厂
吉利女神,主焦煤|3级|进口|澳洲|Daunia,"10000","2611325","4500190072","10",在途,"2026-09-09 15:31:26",,"2026-09-09 00:00:00",G3MMZJMH,A2MMZJM3,"4500190072",已匹配,焦化厂
